output,top_10_inputs,top_10_values,max_gradient_input,max_gradient_value,min_gradient_input,min_gradient_value
output_1,"input_1, input_3, input_2, input_8, input_4, input_5, input_7, input_10, input_9, input_6","1.390547, 0.599319, 0.597994, 0.431802, 0.388974, 0.381053, 0.247514, 0.241573, 0.240699, 0.232125",input_1,1.3905468,input_33,0.039077934
output_2,"input_1, input_3, input_2, input_5, input_8, input_4, input_9, input_7, input_6, input_10","0.897520, 0.525954, 0.411863, 0.339286, 0.334074, 0.311163, 0.234756, 0.221412, 0.209330, 0.188103",input_1,0.89752007,input_33,0.04174755
output_3,"input_1, input_2, input_3, input_4, input_8, input_5, input_10, input_7, input_6, input_9","0.885956, 0.509785, 0.418057, 0.349972, 0.327653, 0.309772, 0.229162, 0.221440, 0.208652, 0.189187",input_1,0.8859555,input_33,0.041294105
output_4,"input_1, input_3, input_2, input_5, input_8, input_4, input_7, input_6, input_9, input_10","0.903439, 0.478720, 0.469268, 0.448940, 0.338984, 0.304444, 0.248531, 0.234789, 0.218305, 0.217669",input_1,0.9034391,input_33,0.04429822
output_5,"input_1, input_2, input_3, input_4, input_8, input_5, input_7, input_6, input_10, input_9","0.899796, 0.485607, 0.461817, 0.438437, 0.339241, 0.301122, 0.243328, 0.231426, 0.222863, 0.211473",input_1,0.899796,input_33,0.043624956
output_6,"input_1, input_3, input_2, input_8, input_4, input_5, input_7, input_10, input_9, input_19","0.958837, 0.456909, 0.453906, 0.369587, 0.333784, 0.332088, 0.220878, 0.212288, 0.212019, 0.211163",input_1,0.95883715,input_33,0.040620133
output_7,"input_1, input_2, input_3, input_4, input_8, input_5, input_7, input_6, input_10, input_9","0.775448, 0.434469, 0.433298, 0.322772, 0.310536, 0.308946, 0.230455, 0.215316, 0.204176, 0.203572",input_1,0.7754484,input_33,0.042471252
output_8,"input_1, input_2, input_3, input_4, input_8, input_5, input_7, input_6, input_10, input_9","0.790418, 0.439324, 0.437440, 0.331121, 0.321230, 0.316678, 0.228770, 0.215478, 0.208672, 0.207548",input_1,0.7904181,input_33,0.042872503
output_9,"input_1, input_3, input_2, input_8, input_4, input_5, input_7, input_9, input_6, input_10","0.813231, 0.450841, 0.414475, 0.334517, 0.329358, 0.309139, 0.209046, 0.209024, 0.201001, 0.199429",input_1,0.8132309,input_33,0.04097774
output_10,"input_1, input_2, input_3, input_8, input_5, input_4, input_10, input_7, input_19, input_9","0.809960, 0.450158, 0.414980, 0.334739, 0.321140, 0.316311, 0.209585, 0.209410, 0.199311, 0.198851",input_1,0.80995953,input_33,0.04060324
output_11,"input_1, input_3, input_2, input_4, input_8, input_5, input_7, input_9, input_10, input_6","0.817143, 0.435866, 0.427344, 0.364092, 0.340961, 0.302790, 0.213982, 0.207348, 0.206295, 0.203858",input_1,0.8171433,input_33,0.04148934
output_12,"input_1, input_3, input_2, input_5, input_8, input_4, input_7, input_10, input_9, input_6","0.818416, 0.426968, 0.425621, 0.371266, 0.337401, 0.296472, 0.214589, 0.204199, 0.203405, 0.203010",input_1,0.8184164,input_33,0.042089283
output_13,"input_1, input_2, input_3, input_8, input_5, input_4, input_7, input_10, input_9, input_6","0.731490, 0.412764, 0.406958, 0.309951, 0.305187, 0.289973, 0.206112, 0.196418, 0.196140, 0.194867",input_1,0.7314904,input_33,0.04081848
output_14,"input_1, input_3, input_2, input_8, input_5, input_4, input_7, input_10, input_9, input_6","0.756245, 0.416008, 0.408032, 0.317569, 0.302007, 0.292940, 0.204495, 0.196249, 0.195661, 0.195067",input_1,0.75624466,input_33,0.04084278
output_15,"input_1, input_3, input_2, input_8, input_5, input_4, input_7, input_9, input_10, input_19","0.760322, 0.411961, 0.408100, 0.327268, 0.310239, 0.300400, 0.205308, 0.199111, 0.198984, 0.193177",input_1,0.76032203,input_33,0.040816084
output_16,"input_1, input_3, input_2, input_8, input_5, input_4, input_6, input_9, input_10, input_7","0.701815, 0.383990, 0.379814, 0.304069, 0.304003, 0.281287, 0.193318, 0.187228, 0.187063, 0.185522",input_1,0.7018154,input_33,0.0399931
output_17,"input_1, input_3, input_2, input_8, input_5, input_4, input_7, input_9, input_10, input_19","0.721848, 0.392591, 0.392002, 0.317456, 0.308478, 0.289276, 0.207502, 0.193497, 0.193150, 0.186610",input_1,0.7218477,input_33,0.04100352
output_18,"input_1, input_3, input_2, input_4, input_8, input_5, input_9, input_10, input_19, input_7","0.704156, 0.377174, 0.376666, 0.329570, 0.317283, 0.282434, 0.191646, 0.191342, 0.187980, 0.181820",input_1,0.704156,input_33,0.04084899
output_19,"input_1, input_3, input_2, input_4, input_8, input_5, input_9, input_10, input_19, input_7","0.709400, 0.385165, 0.377487, 0.324207, 0.316788, 0.264377, 0.191289, 0.188096, 0.185733, 0.182459",input_1,0.7094002,input_33,0.039789844
output_20,"input_1, input_2, input_3, input_8, input_5, input_4, input_10, input_9, input_19, input_7","0.695666, 0.387160, 0.375718, 0.315080, 0.296205, 0.289992, 0.192171, 0.190422, 0.186080, 0.183572",input_1,0.69566643,input_33,0.04022458
output_21,"input_1, input_3, input_2, input_8, input_4, input_5, input_9, input_10, input_19, input_7","0.707372, 0.382124, 0.375759, 0.322222, 0.309855, 0.303367, 0.192798, 0.191732, 0.189759, 0.182167",input_1,0.7073722,input_33,0.041012447
output_22,"input_1, input_3, input_2, input_8, input_5, input_4, input_9, input_10, input_7, input_19","0.696008, 0.382815, 0.376610, 0.310979, 0.305590, 0.278893, 0.190592, 0.188520, 0.183279, 0.182800",input_1,0.696008,input_33,0.040421564
output_23,"input_1, input_2, input_3, input_8, input_4, input_5, input_10, input_9, input_7, input_19","0.661006, 0.371417, 0.369261, 0.295932, 0.279518, 0.279016, 0.185089, 0.183801, 0.182797, 0.175363",input_1,0.6610056,input_33,0.040457718
output_24,"input_1, input_3, input_2, input_8, input_4, input_5, input_9, input_10, input_7, input_19","0.656923, 0.372875, 0.369585, 0.296799, 0.286979, 0.276049, 0.186586, 0.185263, 0.184768, 0.175678",input_1,0.6569225,input_33,0.04018728
output_25,"input_1, input_3, input_2, input_8, input_5, input_4, input_10, input_9, input_19, input_7","0.654007, 0.367276, 0.366014, 0.302794, 0.285728, 0.284805, 0.186945, 0.185826, 0.179413, 0.175645",input_1,0.65400684,input_33,0.040164437
output_26,"input_1, input_2, input_3, input_8, input_5, input_4, input_10, input_19, input_9, input_7","0.660960, 0.348787, 0.347941, 0.307555, 0.283985, 0.277944, 0.180541, 0.179706, 0.179310, 0.168951",input_1,0.66096026,input_33,0.039653253
output_27,"input_1, input_3, input_2, input_8, input_5, input_4, input_19, input_9, input_10, input_7","0.633901, 0.340162, 0.337593, 0.296903, 0.294927, 0.259627, 0.177575, 0.177537, 0.175841, 0.172592",input_1,0.63390136,input_33,0.04088439
output_28,"input_1, input_2, input_3, input_8, input_5, input_4, input_10, input_9, input_19, input_7","0.620792, 0.342104, 0.338407, 0.297968, 0.294510, 0.268389, 0.179790, 0.179621, 0.178304, 0.166008",input_1,0.62079173,input_33,0.041405633
output_29,"input_1, input_3, input_2, input_8, input_5, input_4, input_9, input_19, input_10, input_13","0.622201, 0.336687, 0.334873, 0.296877, 0.295623, 0.262229, 0.177541, 0.177239, 0.175432, 0.163717",input_1,0.6222009,input_33,0.04013136
output_30,"input_1, input_2, input_3, input_8, input_4, input_5, input_9, input_10, input_19, input_7","0.614169, 0.344889, 0.344499, 0.293671, 0.282546, 0.267045, 0.181243, 0.179033, 0.174074, 0.168551",input_1,0.6141693,input_33,0.040144123
output_31,"input_1, input_2, input_3, input_8, input_5, input_4, input_10, input_9, input_19, input_7","0.594612, 0.333552, 0.329389, 0.278286, 0.271340, 0.249913, 0.172059, 0.171189, 0.166150, 0.160520",input_1,0.5946123,input_33,0.03924303
output_32,"input_1, input_3, input_2, input_8, input_4, input_5, input_10, input_9, input_19, input_7","0.603036, 0.340599, 0.337833, 0.286360, 0.286010, 0.255681, 0.177184, 0.176945, 0.170971, 0.167043",input_1,0.60303557,input_33,0.040278524
output_33,"input_1, input_2, input_3, input_8, input_4, input_5, input_19, input_9, input_10, input_14","0.614541, 0.328262, 0.327227, 0.296481, 0.288784, 0.268560, 0.177403, 0.175269, 0.175066, 0.160191",input_1,0.61454076,input_33,0.04030104
output_34,"input_1, input_3, input_2, input_8, input_4, input_5, input_9, input_10, input_19, input_7","0.603209, 0.334639, 0.331692, 0.286502, 0.273363, 0.267904, 0.174925, 0.173584, 0.171326, 0.160173",input_1,0.60320944,input_33,0.040191066
output_35,"input_1, input_3, input_2, input_8, input_4, input_5, input_9, input_10, input_19, input_7","0.590583, 0.328956, 0.328275, 0.287077, 0.278731, 0.263861, 0.175454, 0.174827, 0.172413, 0.158619",input_1,0.59058344,input_33,0.040588576
output_36,"input_1, input_2, input_3, input_8, input_4, input_5, input_9, input_10, input_19, input_14","0.601645, 0.334509, 0.330160, 0.291280, 0.287808, 0.264638, 0.176882, 0.176270, 0.173996, 0.160470",input_1,0.60164475,input_33,0.040779836
output_37,"input_1, input_3, input_2, input_4, input_8, input_5, input_19, input_9, input_10, input_14","0.588245, 0.319640, 0.318387, 0.288177, 0.283842, 0.245559, 0.169580, 0.169486, 0.168418, 0.158239",input_1,0.5882447,input_33,0.03963991
output_38,"input_1, input_2, input_3, input_8, input_5, input_4, input_9, input_10, input_19, input_7","0.569190, 0.316488, 0.313574, 0.275725, 0.264591, 0.255671, 0.167578, 0.167143, 0.166375, 0.153171",input_1,0.56918967,input_33,0.040260233
output_39,"input_1, input_3, input_2, input_8, input_5, input_4, input_9, input_10, input_19, input_7","0.570388, 0.316209, 0.314702, 0.275492, 0.261728, 0.258842, 0.168131, 0.167886, 0.166340, 0.153208",input_1,0.57038814,input_33,0.04000245
output_40,"input_1, input_3, input_2, input_4, input_8, input_5, input_10, input_9, input_19, input_14","0.575509, 0.317281, 0.316614, 0.281134, 0.278655, 0.244978, 0.169324, 0.169122, 0.168254, 0.156041",input_1,0.5755089,input_33,0.041046876
