,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25,rank_26,rank_27,rank_28,rank_29,rank_30,rank_31,rank_32,rank_33
output_1,1,3,2,8,4,5,7,10,9,6,19,14,13,15,16,11,12,20,21,26,27,22,23,28,29,17,18,31,30,25,24,32,33
output_2,1,3,2,5,8,4,9,7,6,10,19,13,14,15,12,11,16,21,20,27,23,22,26,28,29,17,18,31,30,25,24,32,33
output_3,1,2,3,4,8,5,10,7,6,9,19,14,13,15,16,12,11,20,21,26,23,22,27,28,29,17,18,31,30,24,25,32,33
output_4,1,3,2,5,8,4,7,6,9,10,13,19,14,15,16,11,12,20,21,27,28,23,22,26,29,17,18,31,30,25,24,32,33
output_5,1,2,3,4,8,5,7,6,10,9,14,19,13,16,15,11,12,20,26,21,28,23,22,27,29,18,17,31,30,24,25,32,33
output_6,1,3,2,8,4,5,7,10,9,19,6,14,13,16,15,20,21,12,11,26,27,28,23,22,29,17,18,31,30,25,24,32,33
output_7,1,2,3,4,8,5,7,6,10,9,19,14,13,15,16,12,20,21,11,26,27,28,22,23,29,17,18,31,30,24,25,32,33
output_8,1,2,3,4,8,5,7,6,10,9,19,14,13,15,16,20,21,12,11,26,27,28,23,22,29,17,18,30,31,25,24,32,33
output_9,1,3,2,8,4,5,7,9,6,10,19,14,13,15,16,21,20,12,11,26,27,28,23,22,29,17,18,31,30,24,25,32,33
output_10,1,2,3,8,5,4,10,7,19,9,6,13,14,15,16,20,21,11,12,27,26,28,23,22,29,17,18,31,30,24,25,32,33
output_11,1,3,2,4,8,5,7,9,10,6,19,14,13,15,16,21,20,26,12,11,27,28,23,22,29,17,18,31,30,24,25,32,33
output_12,1,3,2,5,8,4,7,10,9,6,19,13,14,15,16,20,21,27,12,11,26,28,23,22,29,17,18,31,30,24,25,32,33
output_13,1,2,3,8,5,4,7,10,9,6,19,13,14,15,16,20,21,12,11,27,26,28,23,22,29,17,18,31,30,25,24,32,33
output_14,1,3,2,8,5,4,7,10,9,6,19,13,14,15,16,20,21,12,11,27,26,28,22,23,29,17,18,31,30,24,25,32,33
output_15,1,3,2,8,5,4,7,9,10,19,6,13,14,15,16,20,21,12,11,27,26,28,23,22,29,17,18,31,30,24,25,32,33
output_16,1,3,2,8,5,4,6,9,10,7,19,13,14,16,15,20,21,12,27,11,26,28,23,22,29,17,18,31,30,24,25,32,33
output_17,1,3,2,8,5,4,7,9,10,19,6,13,14,15,16,20,21,12,27,11,26,28,22,23,29,17,18,31,30,25,24,32,33
output_18,1,3,2,4,8,5,9,10,19,7,14,6,13,15,16,20,21,26,27,12,11,28,23,22,29,17,31,18,30,24,25,32,33
output_19,1,3,2,4,8,5,9,10,19,7,14,6,13,15,16,20,21,26,11,12,27,28,23,22,29,17,18,31,30,24,25,32,33
output_20,1,2,3,8,5,4,10,9,19,7,6,13,14,15,16,20,21,27,26,12,11,28,23,22,29,17,31,18,30,24,25,32,33
output_21,1,3,2,8,4,5,9,10,19,7,6,14,13,15,16,20,21,26,27,12,11,28,23,22,29,17,31,18,30,24,25,32,33
output_22,1,3,2,8,5,4,9,10,7,19,6,13,14,15,16,20,21,27,12,26,11,28,23,22,29,17,18,31,30,25,24,32,33
output_23,1,2,3,8,4,5,10,9,7,19,6,14,13,15,16,20,21,11,12,26,27,28,23,22,29,17,18,31,30,25,24,32,33
output_24,1,3,2,8,4,5,9,10,7,19,6,14,13,15,16,20,21,12,11,26,27,28,23,22,29,17,18,31,30,24,25,32,33
output_25,1,3,2,8,5,4,10,9,19,7,6,14,13,15,16,20,21,26,12,27,11,28,22,23,29,17,31,30,18,25,24,32,33
output_26,1,2,3,8,5,4,10,19,9,7,6,13,14,15,16,20,21,27,26,12,11,28,22,23,29,17,31,18,30,25,24,32,33
output_27,1,3,2,8,5,4,19,9,10,7,13,6,14,15,16,21,20,27,26,12,11,28,23,29,22,17,18,31,30,24,25,32,33
output_28,1,2,3,8,5,4,10,9,19,7,13,6,14,15,16,20,21,27,26,11,12,28,23,29,22,17,31,30,18,25,24,32,33
output_29,1,3,2,8,5,4,9,19,10,13,6,7,14,16,15,20,21,27,26,12,11,28,23,22,29,17,30,31,18,24,25,32,33
output_30,1,2,3,8,4,5,9,10,19,7,6,14,13,15,16,20,21,26,27,12,11,28,23,22,29,31,17,30,18,25,24,32,33
output_31,1,2,3,8,5,4,10,9,19,7,6,13,14,15,16,20,21,27,26,12,11,28,22,23,29,17,31,30,18,24,25,32,33
output_32,1,3,2,8,4,5,10,9,19,7,6,14,13,15,16,21,20,26,27,12,11,28,23,22,29,17,31,18,30,24,25,32,33
output_33,1,2,3,8,4,5,19,9,10,14,7,13,6,15,16,20,21,26,27,12,11,28,29,23,22,17,31,30,18,24,25,32,33
output_34,1,3,2,8,4,5,9,10,19,7,6,14,13,15,16,20,21,26,27,12,11,28,23,22,29,17,31,30,18,25,24,32,33
output_35,1,3,2,8,4,5,9,10,19,7,14,6,13,15,16,20,21,26,27,12,11,28,23,29,22,17,31,30,18,24,25,32,33
output_36,1,2,3,8,4,5,9,10,19,14,7,6,13,15,16,20,21,26,27,12,11,28,22,29,23,17,31,18,30,24,25,32,33
output_37,1,3,2,4,8,5,19,9,10,14,7,6,13,15,16,21,20,26,27,12,11,28,23,29,22,17,31,18,30,24,25,32,33
