output,rank,input,gradient_magnitude
output_1,1,input_1,1.390547
output_1,2,input_3,0.599319
output_1,3,input_2,0.597994
output_1,4,input_8,0.431802
output_1,5,input_4,0.388974
output_1,6,input_5,0.381053
output_1,7,input_7,0.247514
output_1,8,input_10,0.241573
output_1,9,input_9,0.240699
output_1,10,input_6,0.232125
output_1,11,input_19,0.203475
output_1,12,input_14,0.179461
output_1,13,input_13,0.175610
output_1,14,input_15,0.138165
output_1,15,input_16,0.136813
output_1,16,input_11,0.131273
output_1,17,input_12,0.129993
output_1,18,input_20,0.123389
output_1,19,input_21,0.122140
output_1,20,input_26,0.104851
output_1,21,input_27,0.100893
output_1,22,input_22,0.094494
output_1,23,input_23,0.094010
output_1,24,input_28,0.091283
output_1,25,input_29,0.084471
output_1,26,input_17,0.082070
output_1,27,input_18,0.080235
output_1,28,input_31,0.068555
output_1,29,input_30,0.067181
output_1,30,input_25,0.055548
output_1,31,input_24,0.055086
output_1,32,input_32,0.039451
output_1,33,input_33,0.039078
output_2,1,input_1,0.897520
output_2,2,input_3,0.525954
output_2,3,input_2,0.411863
output_2,4,input_5,0.339286
output_2,5,input_8,0.334074
output_2,6,input_4,0.311163
output_2,7,input_9,0.234756
output_2,8,input_7,0.221412
output_2,9,input_6,0.209330
output_2,10,input_10,0.188103
output_2,11,input_19,0.180158
output_2,12,input_13,0.169544
output_2,13,input_14,0.155083
output_2,14,input_15,0.136186
output_2,15,input_12,0.135865
output_2,16,input_11,0.135261
output_2,17,input_16,0.134889
output_2,18,input_21,0.128922
output_2,19,input_20,0.113329
output_2,20,input_27,0.104197
output_2,21,input_23,0.099951
output_2,22,input_22,0.099896
output_2,23,input_26,0.098815
output_2,24,input_28,0.096207
output_2,25,input_29,0.089338
output_2,26,input_17,0.086934
output_2,27,input_18,0.086155
output_2,28,input_31,0.074897
output_2,29,input_30,0.073592
output_2,30,input_25,0.059897
output_2,31,input_24,0.058893
output_2,32,input_32,0.042837
output_2,33,input_33,0.041748
output_3,1,input_1,0.885956
output_3,2,input_2,0.509785
output_3,3,input_3,0.418057
output_3,4,input_4,0.349972
output_3,5,input_8,0.327653
output_3,6,input_5,0.309772
output_3,7,input_10,0.229162
output_3,8,input_7,0.221440
output_3,9,input_6,0.208652
output_3,10,input_9,0.189187
output_3,11,input_19,0.179647
output_3,12,input_14,0.171364
output_3,13,input_13,0.154327
output_3,14,input_15,0.136010
output_3,15,input_16,0.135506
output_3,16,input_12,0.134037
output_3,17,input_11,0.133783
output_3,18,input_20,0.127448
output_3,19,input_21,0.115324
output_3,20,input_26,0.107304
output_3,21,input_23,0.099542
output_3,22,input_22,0.099291
output_3,23,input_27,0.097064
output_3,24,input_28,0.096659
output_3,25,input_29,0.088948
output_3,26,input_17,0.085809
output_3,27,input_18,0.085344
output_3,28,input_31,0.074329
output_3,29,input_30,0.073498
output_3,30,input_24,0.058664
output_3,31,input_25,0.058100
output_3,32,input_32,0.041568
output_3,33,input_33,0.041294
output_4,1,input_1,0.903439
output_4,2,input_3,0.478720
output_4,3,input_2,0.469268
output_4,4,input_5,0.448940
output_4,5,input_8,0.338984
output_4,6,input_4,0.304444
output_4,7,input_7,0.248531
output_4,8,input_6,0.234789
output_4,9,input_9,0.218305
output_4,10,input_10,0.217669
output_4,11,input_13,0.213913
output_4,12,input_19,0.203798
output_4,13,input_14,0.155181
output_4,14,input_15,0.154525
output_4,15,input_16,0.154394
output_4,16,input_11,0.141790
output_4,17,input_12,0.140735
output_4,18,input_20,0.138154
output_4,19,input_21,0.136370
output_4,20,input_27,0.136362
output_4,21,input_28,0.111652
output_4,22,input_23,0.110250
output_4,23,input_22,0.109371
output_4,24,input_26,0.105614
output_4,25,input_29,0.103518
output_4,26,input_17,0.092608
output_4,27,input_18,0.091298
output_4,28,input_31,0.082435
output_4,29,input_30,0.081031
output_4,30,input_25,0.063511
output_4,31,input_24,0.062603
output_4,32,input_32,0.044928
output_4,33,input_33,0.044298
output_5,1,input_1,0.899796
output_5,2,input_2,0.485607
output_5,3,input_3,0.461817
output_5,4,input_4,0.438437
output_5,5,input_8,0.339241
output_5,6,input_5,0.301122
output_5,7,input_7,0.243328
output_5,8,input_6,0.231426
output_5,9,input_10,0.222863
output_5,10,input_9,0.211473
output_5,11,input_14,0.210572
output_5,12,input_19,0.203209
output_5,13,input_13,0.156275
output_5,14,input_16,0.153176
output_5,15,input_15,0.152499
output_5,16,input_11,0.140405
output_5,17,input_12,0.139533
output_5,18,input_20,0.138530
output_5,19,input_26,0.136176
output_5,20,input_21,0.133901
output_5,21,input_28,0.111190
output_5,22,input_23,0.108995
output_5,23,input_22,0.107964
output_5,24,input_27,0.104560
output_5,25,input_29,0.102267
output_5,26,input_18,0.090596
output_5,27,input_17,0.090257
output_5,28,input_31,0.081186
output_5,29,input_30,0.080729
output_5,30,input_24,0.061976
output_5,31,input_25,0.061881
output_5,32,input_32,0.044837
output_5,33,input_33,0.043625
output_6,1,input_1,0.958837
output_6,2,input_3,0.456909
output_6,3,input_2,0.453906
output_6,4,input_8,0.369587
output_6,5,input_4,0.333784
output_6,6,input_5,0.332088
output_6,7,input_7,0.220878
output_6,8,input_10,0.212288
output_6,9,input_9,0.212019
output_6,10,input_19,0.211163
output_6,11,input_6,0.210001
output_6,12,input_14,0.181172
output_6,13,input_13,0.178259
output_6,14,input_16,0.141802
output_6,15,input_15,0.141142
output_6,16,input_20,0.133978
output_6,17,input_21,0.133371
output_6,18,input_12,0.126311
output_6,19,input_11,0.126129
output_6,20,input_26,0.117657
output_6,21,input_27,0.115330
output_6,22,input_28,0.104495
output_6,23,input_23,0.102154
output_6,24,input_22,0.102122
output_6,25,input_29,0.096236
output_6,26,input_17,0.082700
output_6,27,input_18,0.081542
output_6,28,input_31,0.076305
output_6,29,input_30,0.075785
output_6,30,input_25,0.056592
output_6,31,input_24,0.056303
output_6,32,input_32,0.041894
output_6,33,input_33,0.040620
output_7,1,input_1,0.775448
output_7,2,input_2,0.434469
output_7,3,input_3,0.433298
output_7,4,input_4,0.322772
output_7,5,input_8,0.310536
output_7,6,input_5,0.308946
output_7,7,input_7,0.230455
output_7,8,input_6,0.215316
output_7,9,input_10,0.204176
output_7,10,input_9,0.203572
output_7,11,input_19,0.186713
output_7,12,input_14,0.171206
output_7,13,input_13,0.164878
output_7,14,input_15,0.145048
output_7,15,input_16,0.142556
output_7,16,input_12,0.129125
output_7,17,input_20,0.128875
output_7,18,input_21,0.128614
output_7,19,input_11,0.128433
output_7,20,input_26,0.112967
